Mean Probability,Standard Deviation
0.6626983,0.4686175
0.6519266,0.46126917
0.5748661,0.42033514
0.32298625,0.45677152
0.6548291,0.46303594
0.87697554,0.14790004
0.32375112,0.45748723
0.33833578,0.42937648
0.37874675,0.30642387
0.66437954,0.46978727
0.6623344,0.46835864
0.6526768,0.4615998
0.66218734,0.4682567
0.68129176,0.43076065
0.6587462,0.46580517
0.3239709,0.45816407
0.1161075,0.14478213
0.7275068,0.3540437
0.6268513,0.44406596
0.65647453,0.46435118
0.65837955,0.4655847
0.61603194,0.43606478
0.34605083,0.44356683
0.59798366,0.4141616
0.5899586,0.42621613
0.9854061,0.011191554
0.62366897,0.44104424
0.37283275,0.44346595
0.64490277,0.45655882
0.61576945,0.4362166
0.64533526,0.45632464
0.79007435,0.25414333
0.3306343,0.4675875
0.69800586,0.40250126
0.63701516,0.45047575
0.33271405,0.4705287
0.325336,0.46009457
0.32861564,0.4647327
0.62427396,0.44186154
0.66242224,0.46842113
0.6613318,0.46765032
0.645644,0.45685917
0.6456502,0.45654657
0.32905164,0.46534932
0.14717712,0.20813987
0.64404553,0.45618805
0.6215656,0.44048202
0.6492109,0.4594765
0.6613379,0.46764582
0.63412935,0.44880843
0.6593905,0.46627212
0.64488107,0.45603752
0.5429744,0.41097978
0.9392331,0.073646545
0.6518392,0.46092883
0.32525083,0.45997417
0.38674697,0.4193932
0.39573872,0.42187542
0.42814603,0.40251386
0.61576426,0.43949232
0.65963656,0.4664666
0.58080995,0.423111
0.3289466,0.46520072
0.94979143,0.058071543
0.6444586,0.4562172
0.650506,0.45999718
0.98118615,0.014173639
0.6641279,0.46961582
0.369027,0.4195036
0.6101133,0.4329688
0.6872737,0.43774143
0.34055078,0.4479512
0.62830704,0.44437283
0.36802602,0.44381753
0.61241764,0.43320352
0.43755087,0.37747955
0.6321874,0.448847
0.62608594,0.42708868
0.97118384,0.03082425
0.968098,0.016401244
0.41914245,0.39273196
0.6500228,0.45990074
0.9574263,0.028988238
0.3276333,0.4633434
0.66253793,0.4684925
0.33801416,0.46756727
0.6174893,0.43826854
0.5717616,0.41948774
0.6578431,0.4651692
0.65425974,0.46284613
0.77056867,0.31362534
0.46311638,0.34200522
0.6197056,0.43848187
0.35104915,0.43801484
0.64937806,0.45943326
0.66092944,0.46735442
0.35059533,0.4583315
0.65497303,0.46332818
0.64823055,0.45882878
0.9357159,0.045050733
0.632108,0.44707862
0.34407726,0.46241167
0.9736952,0.01858334
0.64240843,0.4547098
0.6742067,0.44447556
0.32479233,0.4593257
0.31445265,0.4334324
0.9504776,0.04805126
0.32636032,0.4615432
0.33200458,0.4695254
0.33094993,0.4680339
0.32933927,0.46575606
0.62940794,0.44729906
0.9679243,0.032284625
0.6517828,0.46088275
